name,count,need_to_be_removed
SM_H_FutureTech_Continuous_Metal_04_Plastics_01,3464,TRUE
SM_H_FutureTech_Continuous_Metal_04_A_06,2703,TRUE
SM_H_Military_Tide_AmmunitionBox_01,1697,FALSE
SM_H_FutureTech_Continuous_Metal_04_B_01,1664,TRUE
SM_H_FutureTech_Continuous_Metal_04_A_04,1389,TRUE
SM_H_PipeLine_Ring_01,1361,TRUE
SM_H_FutureTech_Continuous_Metal_04_A_05,1206,TRUE
SM_EFX_BlockPlane,1094,TRUE
SM_H_Building_Tide_Jail_Railing_01a,939,FALSE
SM_H_FutureTech_Machinery_Toolbox_B_03,893,TRUE
SM_H_PipeLine_Ring_03,876,TRUE
SM_H_Government_Tide_Monitor_01B,797,TRUE
SM_H_FutureTech_Continuous_Metal_04_B_05,709,TRUE
SM_H_lceLand_Props_Bullet_01a,682,TRUE
SM_H_FutureTech_Continuous_Metal_04_B_04,659,TRUE
SM_H_Government_Tide_Monitor_01,633,TRUE
SM_M_Building_Military_Tower_03b,524,TRUE
SM_H_FutureTech_Continuous_Metal_09_Black_01,515,TRUE
SM_H_FutureTech_Continuous_Metal_04_B_02,476,TRUE
SM_H_FutureTech_Continuous_Metal_09_Gray_01,444,TRUE
SM_H_FutureTech_Lighting_DecorativeLamp_06_A,431,FALSE
SM_H_Military_Tide_SupplyBox_01,414,FALSE
SM_H_IceLand_Lighting_StreetLamp_07b,372,FALSE
SM_H_FutureTech_Continuous_Metal_04_A_01,355,TRUE
SM_H_Government_Tide_Brick_03,334,FALSE
SM_H_FutureTech_Furniture_Folder_02,321,TRUE
SM_Generic_Lighting_Chandelier_03,318,FALSE
SM_H_Government_Tide_Cloth_01A,307,TRUE
SM_M_Government_Office_BrokenGlass_02,304,TRUE
SM_H_Building_Tide_DeepJail_04_Meatl_01a,294,FALSE
SM_H_FutureTech_Machinery_Toolbox_A_03,289,TRUE
SM_H_Building_Tide_DeepJail_04_Meatl_01b,286,FALSE
SM_H_Government_Tide_Light_01,283,FALSE
SM_NavalBattle_Nature_Rock_Big_Rock_07,282,FALSE
SM_H_Industrial_Prop_Light_02,280,FALSE
SM_NavalBattle_Nature_Rock_Big_Rock_06,270,FALSE
SM_H_Government_Tide_Tableware_01A,265,TRUE
SM_Generic_Lighting_Chandelier_01,254,FALSE
SM_Generic_Lighting_WallLamp_05,245,FALSE
SM_H_FutureTech_Furniture_Bucket_02,245,FALSE
SM_H_IceLand_Props_Macadam_01a,243,TRUE
SM_H_Gibraltar_Props_Commercial_Box_01c,239,FALSE
SM_M_Industrial_Furniture_BunKBed_01B,238,FALSE
SM_H_FutureTech_Label_Bullet_01_A,237,TRUE
SM_IceLand_Props_IndustrialDecorate_03,234,TRUE
SM_H_Government_Tide_Towel_01,225,TRUE
SM_M_Government_Office_Box_01,224,FALSE
SM_H_Government_Tide_Chair_01,221,FALSE
SM_H_Government_Tide_PrisonDormitory_Table_01,217,FALSE
SM_H_FutureTech_Electronics_SmokeAlarms_02,212,TRUE
SM_H_Government_Tide_Monitor_01A,205,TRUE
SM_M_Fence_ConcreteWall_Broken_15,203,TRUE
SM_H_Government_Tide_Brick_04,197,TRUE
SM_H_Government_Tide_Cabinet_10,197,FALSE
